Time,190-AT1001-AirTemp,990-PC-1101A-H1,990-PC-1101B-H2,990-PC-1102-H1,990-PT-1104A (barg),990-PT-1104B (barg),990-PT-1104C (barg),990-PSHL-1100,990-LT-1131 (mm),990-LT-1132 (mm),990-LT-1133 (mm),990-LT-1134 (mm),990-LT-1135 (mm),990-PT-1109 (barg),190-ZSL-1102,190-ZSH-1102,190-ZSI-1102,190-ZT-1102 (%),990-PT-1129 (barg),190-ZSL-1101,190-ZSH-1101,190-ZSI-1101,190-ZT-1101 (%),
2020.04.01 02:11:07.095,,,,,,,,,,,,,,,,,,,176.17132568359,,,,,
2020.04.01 02:13:43.066,1.2999999523163,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 02:14:27.068,,,,,,,,,,,,,,175.06327819824,,,,,,,,,,
2020.04.01 02:15:13.078,1.3999999761581,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 02:19:19.084,,,,,175.30285644531,,,,,,,,,,,,,,,,,,,
2020.04.01 02:20:09.166,,,,,,,175.37773132324,,,,,,,,,,,,,,,,,
2020.04.01 02:21:13.087,1.2999999523163,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 02:21:14.171,,,,,,175.16061401367,,,,,,,,,,,,,,,,,,
2020.04.01 02:24:21.095,,,,,,,,,,,,,,175.09323120117,,,,,,,,,,
2020.04.01 02:24:43.009,1.3999999761581,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 02:27:43.103,,,,,,,,,,,,767.7783203125,,,,,,,,,,,,
2020.04.01 02:28:27.098,,,,,175.34028625488,,,,,,,,,,,,,,,,,,,
2020.04.01 02:29:13.099,1.2999999523163,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 02:29:32.012,,,,,,,175.41516113281,,,,,,,,,,,,,,,,,
2020.04.01 02:30:21.014,,,,,,,,,,,,,,,,,,,176.20127868652,,,,,
2020.04.01 02:31:05.101,,,,,,,,,,,,,,175.13066101074,,,,,,,,,,
2020.04.01 02:31:22.106,,,,,,175.19055175781,,,,,,,,,,,,,,,,,,
2020.04.01 02:33:13.025,1.3999999761581,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 02:35:43.005,1.2999999523163,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 02:36:02.006,,,,,175.39270019531,,,,,,,,,,,,,,,,,,,
2020.04.01 02:36:42.010,,,,,,,175.46008300781,,,,,,,,,,,,,,,,,
2020.04.01 02:37:20.011,,,,,,175.22799682617,,,,,,,,,,,,,,,,,,
2020.04.01 02:37:59.015,,,,,,,,,,,,,,,,,,,176.23870849609,,,,,
2020.04.01 02:38:28.008,,,,,,,,,,,,,,175.16809082031,,,,,,,,,,
2020.04.01 02:41:13.011,1.3999999761581,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 02:41:43.012,1.2999999523163,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 02:46:10.027,,,,,,,,,,,,,,175.19055175781,,,,,,,,,,
2020.04.01 02:46:35.024,,,,,,175.25045776367,,,,,,,,,,,,,,,,,,
2020.04.01 02:47:00.032,,,,,175.41516113281,,,,,,,,,,,,,,,,,,,
2020.04.01 02:48:46.032,,,,,,,,,,,,,,,,,,99.961120605469,,,,,,
2020.04.01 02:50:09.033,,,,,,,175.49751281738,,,,,,,,,,,,,,,,,
2020.04.01 02:51:43.039,1.2000000476837,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 02:54:42.050,,,,,,175.27291870117,,,,,,,,,,,,,,,,,,
2020.04.01 02:55:31.059,,,,,,,,,,,,,,,,,,,176.26116943359,,,,,
2020.04.01 02:55:57.052,,,,,,,,,,,,,,175.22799682617,,,,,,,,,,
2020.04.01 02:56:43.051,1.2999999523163,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 02:58:35.050,,,,,,,,,,745.58349609375,,,,,,,,,,,,,,
2020.04.01 02:59:35.055,,,,,175.43762207031,,,,,,,,,,,,,,,,,,,
2020.04.01 03:00:13.061,1.2000000476837,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 03:01:37.063,,,,,,,,,,,,,,,,,,99.968353271484,,,,,,
2020.04.01 03:07:43.077,1.1000000238419,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 03:08:14.085,,,,,,,175.51249694824,,,,,,,,,,,,,,,,,
2020.04.01 03:08:45.074,,,,,,175.28788757324,,,,,,,,,,,,,,,,,,
2020.04.01 03:10:13.097,,,,,,,,,,,,,,,,,,,176.27613830566,,,,,
2020.04.01 03:11:13.096,1.2000000476837,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 03:13:07.081,,,,,175.46008300781,,,,,,,,,,,,,,,,,,,
2020.04.01 03:14:43.090,1.1000000238419,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 03:24:13.032,1,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 03:26:34.032,,,,,,,,,,,,,,175.16061401367,,,,,,,,,,
2020.04.01 03:30:54.020,,,,,,,175.53494262695,,,,,,,,,,,,,,,,,
2020.04.01 03:31:14.023,,,,,,,,,,,,,,175.19055175781,,,,,,,,,,
2020.04.01 03:32:27.034,,,,,,,,,,745.65625,,,,,,,,,,,,,,
2020.04.01 03:33:13.059,0.89999997615814,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 03:34:13.049,1,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 03:36:44.041,,,,,,,,,,,,767.85107421875,,,,,,,,,,,,
2020.04.01 03:37:13.057,0.89999997615814,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 03:38:54.046,,,,,,,,,,,,,,,,,,,176.23870849609,,,,,
2020.04.01 03:40:08.045,,,,,175.46757507324,,,,,,,,,,,,,,,,,,,
2020.04.01 03:42:16.054,,,,,,,,,,,,,,175.13066101074,,,,,,,,,,
2020.04.01 03:45:13.052,0.80000001192093,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 03:45:50.058,,,,,,,,,,,,,,,,,,,176.14886474609,,,,,
2020.04.01 03:47:13.046,0.69999998807907,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 03:47:21.068,,,,,,,175.49751281738,,,,,,,,,,,,,,,,,
2020.04.01 03:49:14.023,,,,,,,,,,,,,,175.06327819824,,,,,,,,,,
2020.04.01 03:51:21.075,,,,,,,,,,,,767.7783203125,,,,,,,,,,,,
2020.04.01 03:54:13.083,0.60000002384186,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 03:54:53.083,,,,,,,,,,,,,,175.00338745117,,,,,,,,,,
2020.04.01 03:55:56.086,,,,,,,,,,,,,,,,,,,176.07400512695,,,,,
2020.04.01 03:58:11.089,,,,,,,175.51249694824,,,,,,,,,,,,,,,,,
2020.04.01 03:59:14.031,,,,,,,,,,,,,,174.93600463867,,,,,,,,,,
2020.04.01 04:00:28.092,,,,,,,,,,,,,,,,,,,175.99913024902,,,,,
2020.04.01 04:01:13.096,0.5,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 04:02:07.000,,,,,175.43762207031,,,,,,,,,,,,,,,,,,,
2020.04.01 04:03:48.004,,,,,,,,,,,,,,174.86114501953,,,,,,,,,,
2020.04.01 04:06:54.009,,,,,,,,,,,,,,,,,,,175.94671630859,,,,,
2020.04.01 04:07:19.016,,,,,,,,,,745.72900390625,,,,,,,,,,,,,,
2020.04.01 04:08:43.011,0.40000000596046,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 04:09:31.030,,,,,,,,,,,,,,174.79376220703,,,,,,,,,,
2020.04.01 04:10:19.007,,,,,,,175.49003601074,,,,,,,,,,,,,,,,,
2020.04.01 04:11:14.008,,,,,,,,,,,,767.85107421875,,,,,,,,,,,,
2020.04.01 04:11:22.013,,,,,,,,,,,,,,,,,,,175.88682556152,,,,,
2020.04.01 04:12:56.026,,,,,,175.25045776367,,,,,,,,,,,,,,,,,,
2020.04.01 04:13:13.023,0.5,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 04:14:13.027,0.40000000596046,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 04:15:09.021,,,,,,,,,,,,,,174.72637939453,,,,,,,,,,
2020.04.01 04:17:12.025,,,,,,,,,,,,,,,,,,,175.82693481445,,,,,
2020.04.01 04:19:39.034,,,,,175.42265319824,,,,,,,,,,,,,,,,,,,
2020.04.01 04:21:17.051,,,,,,,175.47505187988,,,,,,,,,,,,,,,,,
2020.04.01 04:21:20.040,,,,,,,,,,,,,,174.66648864746,,,,,,,,,,
2020.04.01 04:22:43.055,,,,,,,,,,,,,,,,,,,175.77452087402,,,,,
2020.04.01 04:28:57.053,,,,,,,,,,,,,,174.6290435791,,,,,,,,,,
2020.04.01 04:29:07.048,,,,,,,,,,,,767.7783203125,,,,,,,,,,,,
2020.04.01 04:29:11.056,,,,,,,,,,,,,,,,,,,175.73709106445,,,,,
2020.04.01 04:35:16.056,,,,,,,,,,,,,,174.59910583496,,,,,,,,,,
2020.04.01 04:35:27.054,,,,,175.40019226074,,,,,,,,,,,,,,,,,,,
2020.04.01 04:36:13.058,0.5,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 04:37:45.060,,,,,,175.22799682617,,,,,,,,,,,,,,,,,,
2020.04.01 04:40:48.082,,,,,,,,,,,,,,,,,,,175.77452087402,,,,,
2020.04.01 04:41:13.079,0.60000002384186,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 04:46:45.083,,,,,,,175.45259094238,,,,,,,,,,,,,,,,,
2020.04.01 04:47:07.088,,,,,,,,,,,,,,,,,,,175.82693481445,,,,,
2020.04.01 04:47:19.059,,,,,,,,,,,,,,174.6515045166,,,,,,,,,,
2020.04.01 04:51:29.010,,,,,,,,,,,,767.85107421875,,,,,,,,,,,,
2020.04.01 04:51:30.092,,,,,,,,,,,,,,,,,,,175.88682556152,,,,,
2020.04.01 04:51:43.005,0.69999998807907,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 04:53:13.009,0.60000002384186,,,,,,,,,,,,,174.70391845703,,,,,,,,,,
2020.04.01 04:56:44.007,,,,,,,175.47505187988,,,,,,,,,,,,,,,,,
2020.04.01 04:57:17.012,,,,,,,,,,,,,,,,,,,175.94671630859,,,,,
2020.04.01 04:57:43.013,0.69999998807907,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 04:58:53.017,,,,,,,,,,,,,,174.7638092041,,,,,,,,,,
2020.04.01 05:01:33.021,,,,,,175.25045776367,,,,,,,,,,,,,,,,,,
2020.04.01 05:02:56.015,,,,,175.43013000488,,,,,,,,,,,,,,,,,,,
2020.04.01 05:04:50.033,,,,,,,,,,,,,,,,,,,175.99163818359,,,,,
2020.04.01 05:04:58.021,,,,,,,,,,,,,,174.82369995117,,,,,,,,,,
2020.04.01 05:06:43.031,0.80000001192093,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 05:07:21.042,,,,,,175.30285644531,,,,,,,,,,,,,,,,,,
2020.04.01 05:07:33.035,,,,,,,175.53494262695,,,,,,,,,,,,,,,,,
2020.04.01 05:08:59.028,,,,,,,,,,,,767.7783203125,,,,,,,,,,,,
2020.04.01 05:10:18.039,,,,,,,,,,,,,,174.8985748291,,,,,,,,,,
2020.04.01 05:10:25.031,,,,,175.47505187988,,,,,,,,,,,,,,,,,,,
2020.04.01 05:10:58.041,,,,,,,,,,,,,,,,,,,176.05902099609,,,,,
2020.04.01 05:13:03.057,,,,,,175.35527038574,,,,,,,,,,,,,,,,,,
2020.04.01 05:14:08.066,,,,,,,175.57986450195,,,,,,,,,,,,,,,,,
2020.04.01 05:14:13.047,0.89999997615814,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 05:14:56.055,,,,,175.53494262695,,,,,,,,,,,,,,,,,,,
2020.04.01 05:15:15.057,,,,,,,,,,,,,,,,,,,176.13389587402,,,,,
2020.04.01 05:15:19.051,,,,,,,,,,,,,,174.97343444824,,,,,,,,,,
2020.04.01 05:18:22.041,,,,,,,175.64724731445,,,,,,,,,,,,,,,,,
2020.04.01 05:18:32.061,,,,,,175.42265319824,,,,,,,,,,,,,,,,,,
2020.04.01 05:18:49.055,,,,,,,,,,,,,,,,,,,176.21624755859,,,,,
2020.04.01 05:19:48.063,,,,,,,,,,,,,,175.0558013916,,,,,,,,,,
2020.04.01 05:19:56.062,,,,,175.60232543945,,,,,,,,,,,,,,,,,,,
2020.04.01 05:22:13.079,1,,,,,,,,,,,,,,,,,,,,,,,
2020.04.01 05:22:16.067,,,,,,,,,,,,,,,,,,,176.32106018066,,,,,
2020.04.01 05:22:52.069,,,,,,175.49751281738,,,,,,,,,,,,,,,,,,
2020.04.01 05:23:02.073,,,,,,,175.71463012695,,,,,,,,,,,,,,,,,
2020.04.01 05:24:03.070,,,,,,,,,,,,,,175.13066101074,,,,,,,,,,
2020.04.01 05:24:11.070,,,,,175.67720031738,,,,,,,,,,,,,,,,,,,
2020.04.01 05:25:21.077,,,,,,,,,,,786.77124023438,,,,,,,,,,,,,
2020.04.01 05:25:45.069,,,,,,,,,,,,,,,,,,,176.42587280273,,,,,
2020.04.01 05:27:11.082,,,,,,,,,,,,,,175.22799682617,,,,,,,,,,
2020.04.01 05:27:22.057,,,,,,,175.80447387695,,,,,,,,,,,,,,,,,
2020.04.01 05:27:33.076,,,,,,175.56489562988,,,,,,,,,,,,,,,,,,
2020.04.01 05:28:48.083,,,,,175.75955200195,,,,,,,,,,,,,,,,,,,
2020.04.01 05:28:56.081,,,,,,,,,,,,,,,,,,,176.54566955566,,,,,
2020.04.01 05:29:01.076,,,,,,,,,,,,767.85107421875,,,,,,,,,,,,
2020.04.01 05:31:07.075,,,,,,,,,,,,,,175.31784057617,,,,,,,,,,
2020.04.01 05:31:30.076,,,,,,175.64724731445,,,,,,,,,,,,,,,,,,
2020.04.01 05:31:43.073,1.1000000238419,,,,,,,,,,,,,,,,,,,,,,,
