Time,190-AT1001-AirTemp (°C),990-PC-1106A-H1,990-PC-1106B-H2,990-PC-1107-H1,990-PT-1154A (barg),990-PT-1154B (barg),990-PT-1154C (barg),990-PSHL-1150,990-LT-1181 (mm),990-LT-1182 (mm),990-LT-1183 (mm),990-PT-1159 (barg),190-ZSL-1103,190-ZSH-1103,190-ZSI-1103,190-ZT-1103 (%),990-PT-1179 (barg),190-ZSL-1104,190-ZSH-1104,190-ZSI-1104,190-ZT-1104 (%),
2020.04.01 02:08:19.143,,,,,,,,,,,,,,,,,168.91664123535,,,,,
2020.04.01 02:12:58.076,,,,,,,,,,,,,,,,,168.99150085449,,,,,
2020.04.01 02:13:40.066,,,,,164.46949768066,,,,,,,,,,,,,,,,,
2020.04.01 02:13:43.066,1.2999999523163,,,,,,,,,,,,,,,,,,,,,
2020.04.01 02:15:13.078,1.3999999761581,,,,,,,,,,,,,,,,,,,,,
2020.04.01 02:15:38.162,,,,,,,164.22991943359,,,,,,,,,,,,,,,
2020.04.01 02:17:12.085,,,,,,,,,,,,,,,,,169.05888366699,,,,,
2020.04.01 02:21:13.087,1.2999999523163,,,,,,,,,,,,,,,,,,,,,
2020.04.01 02:21:16.088,,,,,,,,,,,,,,,,,169.13375854492,,,,,
2020.04.01 02:21:22.172,,,,,,164.41708374023,,,,,,,,,,,,,,,,
2020.04.01 02:24:43.009,1.3999999761581,,,,,,,,,,,,,,,,,,,,,
2020.04.01 02:25:05.010,,,,,,,,,,,,,,,,,169.21611022949,,,,,
2020.04.01 02:25:28.099,,,,,164.49943542481,,,,,,,,,,,,,,,,,
2020.04.01 02:28:55.010,,,,,,,,,,,,,,,,,169.29098510742,,,,,
2020.04.01 02:29:13.099,1.2999999523163,,,,,,,,,,,,,,,,,,,,,
2020.04.01 02:30:26.109,,,,,,,,,,728.91906738281,,,,,,,,,,,,
2020.04.01 02:31:43.019,,,,,,,,,,,,158.80200195313,,,,,,,,,,
2020.04.01 02:32:47.108,,,,,,,,,,,,,,,,,169.37333679199,,,,,
2020.04.01 02:33:13.025,1.3999999761581,,,,,,,,,,,,,,,,,,,,,
2020.04.01 02:33:16.107,,,,,,,164.26734924316,,,,,,,,,,,,,,,
2020.04.01 02:35:43.005,1.2999999523163,,,,,,,,,,,,,,,,,,,,,
2020.04.01 02:37:15.014,,,,,,,,,,,,,,,,,169.44819641113,,,,,
2020.04.01 02:39:44.015,,,,,,164.44703674316,,,,,,,,,,,,,,,,
2020.04.01 02:40:20.018,,,,,164.53688049316,,,,,,,,,,,,,,,,,
2020.04.01 02:41:13.011,1.3999999761581,,,,,,,,,,,,,,,,,,,,,
2020.04.01 02:41:19.017,,,,,,,,,,,,,,,,,169.52307128906,,,,,
2020.04.01 02:41:43.012,1.2999999523163,,,,,,,,,,,,,,,,,,,,,
2020.04.01 02:45:22.018,,,,,,,,,,,,,,,,,169.59045410156,,,,,
2020.04.01 02:47:58.028,,,,,,,164.29730224609,,,,,,,,,,,,,,,
2020.04.01 02:50:17.042,,,,,,,,,,,,,,,,,169.65783691406,,,,,
2020.04.01 02:51:43.039,1.2000000476837,,,,,,,,,,,,,,,,,,,,,
2020.04.01 02:52:22.034,,,,,164.56681823731,,,,,,,,,,,,,,,,,
